time;gFx;gFy;gFz;TgF
1,456739;0,0012;-0,0173;-0,0057;0,018
1,461813;0,0012;-0,0036;0,0080;0,009
1,466661;-0,0115;-0,0161;-0,0057;0,021
1,471729;-0,0114;-0,0024;-0,0057;0,013
1,476724;0,0022;0,0111;0,0079;0,014
1,482349;0,0021;0,0111;-0,0057;0,013
1,486628;0,0019;-0,0024;-0,0193;0,020
1,491995;0,0019;-0,0024;-0,0193;0,020
1,498882;0,0020;-0,0024;0,0079;0,009
1,502129;0,0020;-0,0024;-0,0193;0,020
1,507214;0,0019;0,0104;-0,0057;0,012
1,512187;0,0019;-0,0032;-0,0057;0,007
1,517236;-0,0118;-0,0033;-0,0057;0,014
1,522096;0,0019;0,0103;0,0080;0,013
1,527206;0,0018;0,0096;-0,0056;0,011
1,534755;0,0018;-0,0178;-0,0056;0,019
1,537434;0,0018;-0,0042;-0,0056;0,007
1,542541;0,0018;0,0094;-0,0056;0,011
1,547580;0,0017;0,0088;-0,0056;0,011
1,552163;-0,0119;-0,0050;-0,0056;0,014
1,557590;-0,0256;-0,0050;0,0080;0,027
1,562491;0,0017;0,0086;0,0080;0,012
1,567700;0,0016;-0,0047;-0,0056;0,007
1,572442;-0,0121;0,0089;0,0080;0,017
1,577561;0,0016;-0,0047;-0,0056;0,008
1,582645;0,0152;-0,0047;-0,0056;0,017
1,587760;-0,0113;-0,0044;0,0080;0,014
1,592805;0,0024;-0,0179;-0,0056;0,019
1,598920;-0,0112;0,0094;-0,0193;0,024
1,602811;0,0160;-0,0042;-0,0056;0,017
1,607642;0,0022;0,0088;-0,0192;0,021
1,612886;-0,0114;-0,0049;-0,0056;0,014
1,617834;0,0159;-0,0049;0,0080;0,018
1,623002;0,0023;-0,0049;-0,0056;0,008
1,628224;0,0021;-0,0046;-0,0192;0,020
1,639289;0,0022;-0,0046;-0,0056;0,008
1,639934;-0,0114;0,0091;0,0080;0,017
1,643541;-0,0251;0,0091;-0,0056;0,027
1,648124;0,0020;0,0212;0,0080;0,023
1,652801;0,0020;-0,0062;0,0081;0,010
1,658251;0,0020;-0,0062;0,0081;0,010
1,663531;-0,0115;-0,0061;-0,0192;0,023
1,668126;-0,0235;-0,0057;-0,0192;0,031
1,673287;-0,0097;0,0080;0,0081;0,015
1,678590;0,0039;-0,0057;0,0081;0,011
1,683410;-0,0097;0,0080;-0,0192;0,023
1,688161;-0,0090;-0,0053;-0,0192;0,022
1,693614;-0,0090;0,0084;-0,0056;0,013
1,698856;0,0047;-0,0052;-0,0056;0,009
1,703415;-0,0089;-0,0187;-0,0056;0,021
1,708469;-0,0083;-0,0047;-0,0056;0,011
1,713389;0,0055;-0,0047;-0,0056;0,009
1,718514;-0,0082;-0,0047;-0,0192;0,021
1,723556;0,0055;0,0088;-0,0192;0,022
1,728631;-0,0076;0,0082;-0,0192;0,022
1,738551;0,0197;0,0081;-0,0192;0,029
1,739185;0,0060;0,0081;-0,0192;0,022
1,743686;0,0197;-0,0055;-0,0056;0,021
1,749852;-0,0070;-0,0052;-0,0056;0,010
1,753651;0,0067;-0,0052;-0,0056;0,010
1,758806;0,0203;-0,0188;-0,0056;0,028
1,765635;-0,0069;-0,0052;-0,0056;0,010
1,769664;0,0062;-0,0049;-0,0056;0,010
1,773948;0,0062;-0,0048;-0,0056;0,010
1,778943;0,0062;-0,0049;-0,0056;0,010
1,784340;0,0062;-0,0049;-0,0056;0,010
1,789131;0,0057;-0,0172;-0,0056;0,019
1,794305;0,0056;-0,0035;0,0080;0,010
1,799390;0,0056;0,0102;0,0080;0,014
1,804188;-0,0080;-0,0034;0,0080;0,012
1,809394;0,0053;0,0096;0,0080;0,014
1,823171;0,0052;-0,0040;0,0080;0,010
1,823848;-0,0084;0,0096;0,0080;0,015
1,824223;0,0053;-0,0040;0,0080;0,010
1,829241;0,0177;-0,0038;-0,0056;0,019
1,834488;0,0039;-0,0174;-0,0056;0,019
1,839262;-0,0098;-0,0038;-0,0056;0,012
1,844346;-0,0098;-0,0037;0,0080;0,013
1,849437;-0,0091;-0,0035;-0,0056;0,011
1,854537;0,0047;0,0102;0,0080;0,014
1,859502;-0,0089;-0,0034;-0,0056;0,011
1,864553;0,0047;-0,0034;-0,0056;0,008
1,870059;-0,0083;-0,0032;-0,0056;0,011
1,874513;0,0054;-0,0031;0,0080;0,010
1,879631;0,0054;0,0105;0,0080;0,014
1,884714;0,0190;0,0105;-0,0056;0,022
1,889867;0,0051;-0,0029;0,0080;0,010
1,894967;-0,0222;-0,0029;0,0080;0,024
