time,gFx,gFy,gFz,TgF
0.572223698,0.0358,0.0001,1.0075,1.008
0.5746175,0.0348,0.0001,1.0070,1.008
0.576722917,0.0363,-0.0002,1.0068,1.007
0.578973073,0.0343,0.0013,1.0053,1.006
0.581377969,0.0385,0.0021,1.0092,1.010
0.583943281,0.0389,-0.0004,1.0090,1.010
0.586759375,0.0370,0.0001,1.0099,1.011
0.589018021,0.0375,0.0018,1.0097,1.010
0.591514792,0.0394,0.0004,1.0055,1.006
0.59411599,0.0355,-0.0028,1.0102,1.011
0.596466719,0.0389,-0.0019,1.0099,1.011
0.599156979,0.0382,-0.0011,1.0070,1.008
0.601503489,0.0372,-0.0004,1.0070,1.008
0.609283958,0.0385,-0.0009,1.0058,1.007
0.610257656,0.0365,0.0048,1.0068,1.007
0.610915156,0.0326,0.0016,1.0107,1.011
0.61168901,0.0360,-0.0011,1.0072,1.008
0.614307239,0.0387,-0.0009,1.0043,1.005
0.616544844,0.0375,-0.0009,1.0085,1.009
0.619143125,0.0343,0.0001,1.0117,1.012
0.621582135,0.0370,0.0018,1.0077,1.008
0.624335,0.0363,0.0023,1.0122,1.013
0.626721927,0.0370,0.0013,1.0094,1.010
0.629281667,0.0365,0.0009,1.0075,1.008
0.63165625,0.0380,-0.0014,1.0099,1.011
0.634200781,0.0387,0.0001,1.0050,1.006
0.636764479,0.0350,-0.0004,1.0104,1.011
0.639378698,0.0367,0.0021,1.0087,1.009
0.64188151,0.0372,0.0004,1.0077,1.008
0.644693489,0.0370,0.0038,1.0094,1.010
0.647044739,0.0367,0.0006,1.0094,1.010
0.64936276,0.0365,-0.0006,1.0102,1.011
0.651795208,0.0380,0.0021,1.0097,1.010
0.655201667,0.0389,0.0004,1.0068,1.008
0.656916771,0.0394,-0.0002,1.0053,1.006
0.659427552,0.0365,-0.0011,1.0090,1.010
0.662651719,0.0363,0.0023,1.0104,1.011
0.664421042,0.0385,-0.0014,1.0080,1.009
0.666933698,0.0353,0.0018,1.0085,1.009
0.669399635,0.0367,0.0016,1.0085,1.009
0.672056458,0.0358,-0.0002,1.0102,1.011
0.674677135,0.0353,0.0004,1.0077,1.008
0.677105312,0.0345,-0.0006,1.0097,1.010
0.6796675,0.0372,-0.0006,1.0075,1.008
0.682007864,0.0355,0.0001,1.0068,1.007
0.684524271,0.0340,-0.0002,1.0070,1.008
0.688633177,0.0358,-0.0004,1.0068,1.007
0.689676146,0.0385,-0.0009,1.0070,1.008
0.692171302,0.0397,0.0026,1.0087,1.009
0.695129479,0.0348,-0.0016,1.0107,1.011
0.697122135,0.0367,0.0004,1.0102,1.011
0.699672708,0.0355,-0.0019,1.0129,1.014
0.702216198,0.0365,-0.0019,1.0114,1.012
0.704820573,0.0370,0.0021,1.0072,1.008
0.707794219,0.0345,0.0028,1.0094,1.010
0.709829427,0.0338,0.0011,1.0092,1.010
0.712381302,0.0372,-0.0009,1.0092,1.010
0.714741771,0.0380,0.0023,1.0097,1.010
0.717234792,0.0363,0.0021,1.0072,1.008
0.720038698,0.0372,0.0021,1.0075,1.008
0.728079635,0.0397,0.0038,1.0072,1.008
0.728963542,0.0358,0.0006,1.0085,1.009
0.729481458,0.0358,0.0018,1.0082,1.009
0.730301979,0.0382,0.0016,1.0063,1.007
0.73352651,0.0375,0.0004,1.0085,1.009
0.735263646,0.0360,-0.0014,1.0070,1.008
0.737918542,0.0377,0.0023,1.0072,1.008
0.739900104,0.0382,0.0023,1.0050,1.006
0.742575469,0.0394,-0.0028,1.0094,1.010
0.744957917,0.0377,-0.0006,1.0087,1.009
0.74751276,0.0377,0.0043,1.0080,1.009
0.750260052,0.0375,0.0006,1.0053,1.006
0.752477604,0.0365,0.0013,1.0094,1.010
0.755057656,0.0355,-0.0002,1.0092,1.010
0.757555729,0.0372,0.0009,1.0087,1.009
0.759996719,0.0318,0.0009,1.0082,1.009
0.762689948,0.0360,0.0016,1.0117,1.012
0.765097656,0.0387,0.0023,1.0092,1.010
0.767569479,0.0365,0.0035,1.0065,1.007
0.770790729,0.0363,0.0009,1.0072,1.008
0.772576614,0.0380,0.0018,1.0094,1.010
0.77530651,0.0358,-0.0016,1.0075,1.008
0.77759875,0.0348,-0.0014,1.0065,1.007
0.780186823,0.0350,-0.0014,1.0065,1.007
0.783298281,0.0365,0.0021,1.0080,1.009
0.785220521,0.0358,0.0004,1.0072,1.008
0.787833542,0.0397,0.0004,1.0092,1.010
0.790279531,0.0377,0.0009,1.0085,1.009
0.792788489,0.0340,0.0004,1.0099,1.011
0.795380312,0.0385,0.0031,1.0058,1.007
0.797983125,0.0363,0.0006,1.0068,1.007
0.800376354,0.0335,0.0009,1.0070,1.008
0.804412656,0.0367,-0.0014,1.0085,1.009
0.80542875,0.0333,0.0013,1.0094,1.010
0.808060052,0.0355,0.0021,1.0117,1.012
0.810573489,0.0377,-0.0009,1.0060,1.007
0.813141198,0.0382,-0.0014,1.0099,1.011
0.815431146,0.0363,0.0013,1.0092,1.010
0.818094219,0.0377,0.0018,1.0068,1.007
0.824900052,0.0370,-0.0006,1.0070,1.008
0.825834323,0.0363,-0.0004,1.0102,1.011
0.826659166,0.0345,0.0009,1.0072,1.008
0.828218177,0.0367,0.0031,1.0065,1.007
0.830525208,0.0394,-0.0002,1.0090,1.010
0.833049375,0.0360,0.0013,1.0077,1.008
0.835391198,0.0370,0.0038,1.0094,1.010
0.837965833,0.0355,0.0001,1.0072,1.008
0.840983541,0.0360,-0.0006,1.0050,1.006
0.843526979,0.0333,0.0001,1.0036,1.004
0.845643229,0.0355,0.0006,1.0077,1.008
0.848312083,0.0389,-0.0002,1.0119,1.013
0.851136771,0.0382,0.0001,1.0102,1.011
0.853988958,0.0392,0.0011,1.0075,1.008
0.855712239,0.0350,0.0026,1.0087,1.009
0.858189948,0.0367,0.0011,1.0094,1.010
0.86067526,0.0355,0.0004,1.0080,1.009
0.863449166,0.0353,0.0001,1.0050,1.006
0.865808385,0.0311,0.0023,1.0094,1.010
0.868199896,0.0335,0.0004,1.0080,1.009
0.870864062,0.0380,-0.0004,1.0107,1.011
0.873364375,0.0365,0.0001,1.0107,1.011
0.875956146,0.0370,0.0018,1.0090,1.010
0.878514427,0.0355,0.0001,1.0046,1.005
0.880843854,0.0372,-0.0004,1.0082,1.009
0.883565937,0.0375,0.0001,1.0094,1.010
0.886970937,0.0355,-0.0011,1.0063,1.007
0.888992552,0.0363,0.0009,1.0068,1.007
0.89114625,0.0387,0.0004,1.0102,1.011
0.893694114,0.0370,0.0033,1.0097,1.010
0.896180833,0.0365,0.0013,1.0058,1.006
0.898551406,0.0394,-0.0004,1.0077,1.009
0.901225052,0.0375,0.0011,1.0094,1.010
0.903950469,0.0367,-0.0009,1.0099,1.011
0.906934791,0.0389,-0.0014,1.0063,1.007
0.910914739,0.0389,0.0009,1.0058,1.007
0.911643385,0.0380,0.0013,1.0122,1.013
0.913706458,0.0372,0.0006,1.0097,1.010
0.916038802,0.0360,0.0009,1.0077,1.008
0.9186775,0.0363,-0.0006,1.0082,1.009
0.925724635,0.0350,0.0009,1.0065,1.007
0.926958281,0.0335,-0.0002,1.0085,1.009
0.927545781,0.0375,0.0013,1.0080,1.009
0.928625052,0.0377,0.0013,1.0087,1.009
0.931153906,0.0363,-0.0004,1.0087,1.009
0.934921875,0.0365,-0.0024,1.0080,1.009
0.936812812,0.0335,0.0011,1.0112,1.012
0.938974427,0.0370,0.0016,1.0119,1.013
0.941134062,0.0355,-0.0009,1.0082,1.009
0.943718281,0.0365,0.0013,1.0075,1.008
0.946275729,0.0367,0.0006,1.0109,1.012
0.948708906,0.0350,-0.0002,1.0099,1.011
0.951303437,0.0367,-0.0021,1.0085,1.009
0.954184375,0.0375,0.0009,1.0092,1.010
0.956447916,0.0355,0.0033,1.0085,1.009
0.959840885,0.0355,0.0021,1.0102,1.011
0.961564948,0.0370,0.0018,1.0087,1.009
0.964240885,0.0353,0.0013,1.0082,1.009
0.966572552,0.0355,0.0026,1.0090,1.010
0.9699625,0.0370,0.0004,1.0092,1.010
0.971882604,0.0372,-0.0002,1.0090,1.010
